to walk|مَشى (يَمْشي) مَشي|verb|common||n
airport|مَطار|noun|transportation|m|n
airports|مَطارات|noun|transportation|m|y
to stay (in a place)|نَزَلَ (يَنْزِلُ) نُزول|verb|||n
sleeping|نَوْم|noun|||n
April|نيسان|noun|months|m|n
pillow|وِسادة|noun|household|f|n
pillows|وَسائِد|noun|household|f|y
to arrive, to reach a destination|وَصَلَ (يَصِلُ) وُصول|verb|||n
day|يَوْم|noun|times|m|n
days|أيّام|noun|times|m|y
today|اليَوْم|adv|common||n
diary, daily journal|يَوْمِيّة|noun|||n
diaries, daily journals|يومِيّات|noun|||y
green|أخْضَر|adj|colors|m|n
green (pl)|خُضْر|adj|colors|m|y
cold|بارِد|adj||m|n
sea|بَحْر|noun|geography|m|n
seas|بِحار|noun|geography|m|y
lake|بُحَيْرة|noun|geography|f|n
lakes|بُحَيْرات|noun|geography|f|y
snow|ثَلْج|noun||m|n
snow (pl)|ثُلوج|noun||m|y
hot|حارّ|adj|common|m|n
heat|حَرارة|noun||f|n
autumn|خَريف|noun|times|m|n
green|خَضْراء|adj|colors|f|n
green (pl)|خُضْر|adj|colors|f|y
warm|دافِئ|adj|common|m|n
class, step, level, degree (temperature)|دَرَجة|noun||f|n
classes, steps, levels, degrees (temperature)|دَرَجات|noun||f|y
spring|رَبيع|noun|times|m|n
wind|ريح|noun||f|n
winds|رِياح|noun||f|y
flower|زَهْرة|noun|plants|f|n
flowers|زَهَرات/أزْهار|noun|plants|f|y
brilliant, shining|ساطِع|adj||m|n
to swim|سَبَحَ (يَسْبَحُ) سِباحة|verb|||n
to fall|سَقَط (يَسْقُطُ) سُقوط|verb|||n
sky|سَماء|noun|nature|f|n
skies|سَماوات|noun|nature|f|y
beach|شاطِئ|noun|nature|m|n
beaches|شَواطِئ|noun|nature|m|y
winter|شِتاء|noun|times|m|n
tree|شَجَرة|noun|plants|f|n
trees|شَجَرات|noun|plants|f|y
sun|شَمْس|noun|nature|f|n
suns|شُموس|noun|nature|f|y
pure; clear, not cloudy|صافٍ، صافِية|adj||m/f|n
clear, fine (of weather)|صَحْوٌ|adj||m|n
way, road|طَريق|noun|directions|f|n
ways, roads|طُرُق، طُرُقات|noun|directions|f|y
weather|طَقْس|noun||m|n
weather (pl)|طُقوس|noun||m|y
worker, laborer|عامِل|noun|occupations|m|n
workers, laborers|عُمّال|noun|occupations|m|y
Labor Day|عيدُ العُمّال|noun|holidays||n
cloudy, overcast|غائِم|adj||m|n
rain cloud|غَيْمة|noun|nature|f|n
rain clouds|غُيوم|noun|nature|f|y
every, all, the whole|كُلّ|noun|common||n
color|لَوْن|noun|colors|m|n
colors|ألْوان|noun|colors|m|y
